Speaker 1	00:00:02:00	V1	White	(Speaker 1)  I Tyskland...
Reinfeldt	00:00:03:00	V1	White	(Reinfeldt)  Ja just det. Honom har jag ju träffat. Han var ju utrikesminister när jag var...
Speaker 1	00:00:11:00	V1	White	(Speaker 1)  Jag tänkte att vi börjar från början. Innan kungen tillträdde så upprättade ju riksdagen en deal sinsemellan som dagligen kallas Torekovskompromissen. Tycker du att den har varit bra eller dålig för Sverige?
Reinfeldt	00:00:28:00	V1	White	(Reinfeldt)  Man får ju komma ihåg vad utgångspunkten var. Man försökte få ihop en vänster som i realiteten ville avskaffa monarkin med en höger som ville bevara den. Och kompromissen var just en kompromiss som förde över oss i en konstitutionell monarki så att den blev bevarad men i en mer modern
Reinfeldt	00:00:28:00	V1	White	(Reinfeldt)  form.
Speaker 1	00:00:47:00	V1	White	(Speaker 1)  Hur tycker du att kungen har utvecklat sitt ämbete med den här Torekovskompromissen som utgångspunkt?
Reinfeldt	00:00:55:00	V1	White	(Reinfeldt)  Det man får komma ihåg är att det är ju vår nuvarande kung som har haft att uttolka Torekovskompromissen under hela sin gärning, och det faktum att han valde "För Sverige i tiden" som sitt valspråk visade ju att det fanns en förståelse och respekt för den här överenskommelsen.
Reinfeldt	00:01:16:00	V1	White	(Reinfeldt)  Jag tycker att det är viktigt att understryka att ibland beskrivs det som att demokratin är en sak och sedan är kungahuset något annat, men Torekovskompromissen har fört in monarkin och kungahuset tydligare i demokratin. Det är ett demokratiskt beslutsfattande som har lagt
Reinfeldt	00:01:16:00	V1	White	(Reinfeldt)  grund för att Sverige är en konstitutionell monarki, och i det har kungen utvecklat att kungahuset ska leva med sin tid, komma närmre sin befolkning. Jag tror att väldigt många ser framför sig en kung klädd i fritidskläder i olika delar av Sverige, ibland på jakt, ibland av andra
Reinfeldt	00:01:16:00	V1	White	(Reinfeldt)  skäl. En närvarande kung. En kung som finns över hela vårt land.
Speaker 1	00:02:03:00	V1	White	(Speaker 1)  Vad är egentligen skillnaden mellan statschefen och regeringschefens roller?
Reinfeldt	00:02:09:00	V1	White	(Reinfeldt)  Här får man komma ihåg att vi utgör en konstitutionell monarki. Här har vi då en statschef som är mer ceremoniell, som inte har politisk makt, som inte sällan är regent över en längre tid. Om jag har räknat rätt så är Carl XVI Gustaf den sjunde Bernadottemonarken, och då ska man notera
Reinfeldt	00:02:09:00	V1	White	(Reinfeldt)  att under 150 år av de 200 som vi haft Bernadotteregenter så har vi haft 35 statsministrar. Här finns en väldig skillnad i tidsutdräkt, och det är delvis poängen. Kungen blir en symbol för Sverige över längre tid, med en höjd och vid sidan av det partipolitiska och det direkta mandat
Reinfeldt	00:02:09:00	V1	White	(Reinfeldt)  som en regering och en statsminister har via demokratiska val, som vi håller i Sverige vart fjärde år. Så regeringschefen, statsministern, med sin regering bär det politiska ansvaret, har det folkliga mandatet tills man antingen förlorar eller blir omvald, medan regenten
Reinfeldt	00:02:09:00	V1	White	(Reinfeldt)  mer under demokratins vingar har försetts med mer symbolisk verkan och makt, skulle man kunna säga. Det är klart att det här är personer som ju alla svenskar känner till och kan relatera till, inte bara kungen utan hela kungafamiljen.
Speaker 1	00:03:39:00	V1	White	(Speaker 1)  När man tillträder som statsminister så gör man ju det formellt först efter konseljen hos kungen. Skulle du kunna beskriva hur det kändes?
Reinfeldt	00:03:51:00	V1	White	(Reinfeldt)  Först vinner man ett val och sedan så har man att förhandla, eftersom vi numera ganska ofta har behov att parlamentariskt föra ihop flera partier, och det jag ledde under två mandatperioder var en koalitionsregering. Sedan ska man då utse en lång rad statsråd. Det som först händer
Reinfeldt	00:03:51:00	V1	White	(Reinfeldt)  då är ju att man blir statsminister, vald av riksdagen. Det är det beslut riksdagen fattar. Sedan har då statsministern i uppdrag att meddela sin regering. Så i den meningen har vi en väldigt stark statsminister. Det sker naturligtvis efter förhandlingar.
Reinfeldt	00:04:28:00	V1	White	(Reinfeldt)  Allt det här sker före man sedan går upp och har en skifteskonselj, oftast på slottet. Det är inte bara en ceremoniel, vill jag säga, för att det var först efter att vi haft denna skifteskonselj som jag och min regering fick komma in i regeringskansliet. Före det släpptes vi alltså
Reinfeldt	00:04:28:00	V1	White	(Reinfeldt)  inte in. Efter skifteskonseljen så går vi sedan till våra respektive departement. Det är första gången jag går in i statsrådsberedningen och kommer in i statsministerns kontor, efter denna skifteskonselj.
Reinfeldt	00:04:58:00	V1	White	(Reinfeldt)  Det är klart att man känner historiens vingslag. Man känner stolthet över att man har vunnit ett val och man känner ansvar att hålla ihop, att representera Sverige, en roll som ju också kungen har, fast på ett annat sätt. Det man också bli varse är ju att det även i Sverige finns ceremonier
Reinfeldt	00:04:58:00	V1	White	(Reinfeldt)  som man har att följa. Man får lite respekt, tycker jag, för att Sverige är en blandning av något modernt men också har en historia. Och det blir man ju påmind av på detta slott som är 250 år gammalt. Bara att komma in i alla dessa lokaler. Det är ett av de stora hörnrum där man har de här
Reinfeldt	00:04:58:00	V1	White	(Reinfeldt)  skifteskonseljerna, som jag tror folk ibland har sett. Det är ett långt bord där statsministern sitter närmast kronprinsessan och kungen. Sedan om man har statsråd som har tjänstgjort sedan tidigare så sitter de närmast kungen och sedan så är det i fallande åldersordning, så
Reinfeldt	00:04:58:00	V1	White	(Reinfeldt)  längst ner sitter de som är yngst och nyast.
Speaker 1	00:06:08:00	V1	White	(Speaker 1)  Kommer du ihåg ditt första möte med kungen, och vad kände du då?
Reinfeldt	00:06:15:00	V1	White	(Reinfeldt)  Om du med det första mötet menar på tu man hand så sker ju det efter att man tillträtt som regering. Det är lite olikt Norge och Danmark som jag tror har mer fastlagda möten mellan statsministern och regenten. I Sverige är det lite mer ad hoc. Det är helt enkelt så att jag i min nya roll
Reinfeldt	00:06:15:00	V1	White	(Reinfeldt)  åkte upp till slottet och besöker kungen i hans arbetsgemak, så att säga, inne i en av slottets lokaler. Där sitter vi ner, och agendan är väl egentligen att jag redogör för olika saker som sker och som är viktiga för regeringen, och kungen kan både ställa frågor eller komma med egna
Reinfeldt	00:06:15:00	V1	White	(Reinfeldt)  synpunkter. Jag uppfattade att det är en väldigt avslappnad form, det har det varit i alla mina möten med kungen. Att han med sin långa regentlängd, och han har ju sett några statsministrar före mig, så att säga, har väldigt god kännedom och kunskap, ett stort kunskapsdjup när det
Reinfeldt	00:06:15:00	V1	White	(Reinfeldt)  gäller de flesta frågor som jag kunde ta upp. Väldigt ofta så blir det mer en dialog, upplevde jag, att jag egentligen informerade om saker som kungen redan kände till.
Speaker 1	00:07:22:00	V1	White	(Speaker 1)  Upplevde du att det fanns frågor som han var extra intresserad av?
Reinfeldt	00:07:26:00	V1	White	(Reinfeldt)  Ja, det tror jag alla har förstått att allt som har med miljö, jordbruk, lantbruk, djurhållning är kungen mycket intresserad av. Så där upplevde jag att här ska man veta att man måste vara beredd att kunna gå djupare.
Speaker 1	00:07:47:00	V1	White	(Speaker 1)  Du har ju medverkat på många utländska besök som kommit till Sverige, både statsbesök, inkommande och andra ledare som har varit här, och då varit med på slottet, på middagar och andra tillfällen. Hur skulle du beskriva kungen som värd?
Reinfeldt	00:08:07:00	V1	White	(Reinfeldt)  Mycket social. Det är ju precis så. Då är man oftast uppe på slottet. Där är det väldigt tung ceremoniel. Det man följer är egentligen ett sätt att ha kungamiddag som jag tror har gällt väldigt länge. Man står uppställda runt Vita havet och kungen och drottningen kommer in och hälsar
Reinfeldt	00:08:07:00	V1	White	(Reinfeldt)  på alla. Sedan så sitter man under en middag som är ganska utdragen, men som ju bygger väldigt mycket på att inte minst kungen håller igång detta socialt. Som statsminister sitter man inte alldeles för långt från kungen, så jag har ju kunnat följa detta, och det är väldigt viktigt,
Reinfeldt	00:08:07:00	V1	White	(Reinfeldt)  för det bidrar till att det blir en god stämning, att det inte bara blir ett ceremoniell och så. Sedan när man då drar sig tillbaks efter middagen så delas ju en kungamiddag in i en del där kungafamiljen står för sig och övriga gäster i en annan del. Men som statsminister var kungen alltid
Reinfeldt	00:08:07:00	V1	White	(Reinfeldt)  väldigt noga med att jag skulle stå bredvid kungen, vilket ju också är ett sätt att markera hur Sverige i modern tid ser ut, och vi kunde därför stå och prata med internationella gäster och andra, kungen och jag, helt enkelt, vilket jag tycker var ett smakfullt sätt att ta den roll
